title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
On the FM,A,133.25,123.68,114.7,0,3.75,130.94,1419,NOTES
Damage Per Second,N,38.02,32.85,16.73,0,6.25,7.19,447,NOTES
Damage Per Second,H,61.07,58.57,28.5,0,7.34,24.05,718,NOTES
Damage Per Second,A,87.27,84.28,35.32,0,31.26,85.39,1026,NOTES
Damage Per Second,L,98.07,88.57,36.56,0,43.76,105.74,1153,CHORD
199024club -Re:BounceKiller-,N,28.06,28.57,106.6,0,0,1.79,360,SCRATCH
199024club -Re:BounceKiller-,H,68.05,67.14,154.74,0,0,38.03,873,SCRATCH
199024club -Re:BounceKiller-,A,98.21,102.63,176.25,0,0,88.3,1260,SCRATCH
Arcana,N,52.08,45.71,14.23,0,0,10.03,613,NOTES
Arcana,H,75.87,60,14.23,0,0,35.15,893,NOTES
Arcana,A,97.71,84.28,11.76,0,105.89,68.13,1150,CHARGE
Acid Pumper,N,28.62,34.28,10.18,0,24.84,10.4,348,PEAK
Acid Pumper,H,66.78,68.57,21.57,0,91.71,29.45,812,CHARGE
Acid Pumper,A,104.2,109.21,47.33,0,163.35,75.36,1267,CHARGE
Exchange Place,N,29.63,27.14,9.46,0,0,9.8,388,NOTES
Exchange Place,H,49.34,47.14,20.59,0,0,31.15,646,NOTES
Exchange Place,A,68.97,72.85,25.6,0,0,67.26,903,PEAK
Wheel of Journey,N,25.94,25.71,17.29,0,0,1.79,306,NOTES
Wheel of Journey,H,58.91,64.28,20.99,0,0,29.15,695,PEAK
Wheel of Journey,A,90.87,84.28,41.99,0,0,74.66,1072,NOTES
quick master (reform version),N,8.74,12.85,15.12,0,0,0.2,80,SCRATCH
quick master (reform version),H,19.44,31.42,28.65,0,0,7.84,178,PEAK
quick master (reform version),A,28.84,47.14,29.45,0,0,9.24,264,PEAK
Devil's Gear,N,41.86,40,29.49,0,0,11.8,548,NOTES
Devil's Gear,H,88,91.42,45.08,0,0,79.22,1152,PEAK
Devil's Gear,A,136.97,139.47,103.03,0,0,133.37,1793,PEAK
Tori-no-kimochi,N,9.68,14.28,1.06,0,0,0.2,133,PEAK
Tori-no-kimochi,H,48.22,50,10.61,0,0,35.03,662,PEAK
Tori-no-kimochi,A,75.03,105.26,10.08,0,0,68.44,1030,PEAK
Blue Spring Express,N,56.54,58.57,42.19,0,0,23.25,664,PEAK
Blue Spring Express,H,92.57,85.71,67.01,0,0,47.7,1087,NOTES
Blue Spring Express,A,147.16,153.57,78.18,0,0,125.68,1728,PEAK
炸裂！イェーガー電光チョップ！！(JAEGER FINAL ATTACK),N,60.79,62.85,47.32,0,0,33.18,702,PEAK
炸裂！イェーガー電光チョップ！！(JAEGER FINAL ATTACK),H,93.27,81.42,42.9,0,0,63.92,1077,NOTES
炸裂！イェーガー電光チョップ！！(JAEGER FINAL ATTACK),A,113.62,109.21,61.83,0,0,103.2,1312,NOTES
GENERATE feat.綾倉盟,N,44.65,41.42,9.08,0,0,10.8,573,NOTES
GENERATE feat.綾倉盟,H,69.51,58.57,13.62,0,0,51.07,892,NOTES
GENERATE feat.綾倉盟,A,92.12,84.28,17.6,0,0,88.65,1182,NOTES
chaos eater -IIDX edition-,N,51.3,55.71,24.75,0,0,16.11,604,PEAK
chaos eater -IIDX edition-,H,75.33,68.57,41.46,0,0,51.7,887,NOTES
chaos eater -IIDX edition-,A,112.79,113.15,63.11,0,0,110.95,1328,PEAK
Battle Train -IIDX Edition-,N,35.32,34.28,14.73,0,0,3.4,454,NOTES
Battle Train -IIDX Edition-,H,101.3,81.42,25.51,0,0,48.09,1302,NOTES
Battle Train -IIDX Edition-,A,131.26,102.63,25.51,0,0,100.42,1687,NOTES
Welcome,N,33.95,40,29.79,0,0,13.2,440,PEAK
Welcome,H,70.91,80,35.97,0,0,80.77,919,CHORD
Welcome,A,104.7,107.89,98.94,0,0,111.12,1357,CHORD
Welcome,L,131.24,134.21,99.5,0,121.42,146.11,1701,CHORD
POSSESSION,N,63.06,57.14,4.58,102.04,10.34,46.35,701,SOFLAN
POSSESSION,H,99.41,92.85,7.21,132.43,24.67,99.61,1105,SOFLAN
POSSESSION,A,136.83,121.05,20.31,157.88,22.81,136.77,1521,SOFLAN
Godspeed,N,48.33,44.28,26.49,0,30.31,10.83,545,NOTES
Godspeed,H,88.86,78.57,25.84,0,79.51,52.23,1002,NOTES
Godspeed,A,144.64,128.94,31.66,0,132.9,127.53,1631,NOTES
La dolce primavera,N,31.71,34.28,4.49,0,0,5.4,360,PEAK
La dolce primavera,H,62.29,60,12.19,0,0,39.86,707,NOTES
La dolce primavera,A,96.74,98.57,15.4,0,8.43,95.28,1098,PEAK
OUTER LIMITS ALTERNATIVE,N,44.67,41.42,34.17,0,0,13.6,600,NOTES
OUTER LIMITS ALTERNATIVE,H,65.9,61.42,42.86,0,0,55.26,885,NOTES
OUTER LIMITS ALTERNATIVE,A,101.49,100,69.44,0,0,126.21,1363,CHORD
STARLiGHT,N,36.61,38.57,30.99,0,0,16.4,482,PEAK
STARLiGHT,H,71.71,68.57,81.92,0,0,51.76,944,SCRATCH
STARLiGHT,A,107.34,106.57,96.86,0,0,112.89,1413,CHORD
紫陽花 -AZISAI-,N,50.26,50,21.8,0,5.93,26.75,655,NOTES
紫陽花 -AZISAI-,H,83.96,80,43.61,0,9.53,53.36,1094,NOTES
紫陽花 -AZISAI-,A,114.35,115.78,70.45,0,47.65,109.48,1490,PEAK
Journey,N,28.7,27.14,4.76,0,0,1,351,NOTES
Journey,H,52.26,47.14,8.34,0,0,12.85,639,NOTES
Journey,A,77.7,70,9.53,0,0,53.33,950,NOTES
Journey,L,129.63,117.1,11.91,0,0,140.27,1585,CHORD
CODE:1 [revision1.0.1],N,41.46,41.42,20.05,0,0,14.25,497,NOTES
CODE:1 [revision1.0.1],H,73.99,67.14,23.7,0,0,43.44,887,NOTES
CODE:1 [revision1.0.1],A,132.64,131.57,45.58,0,0,126.35,1590,NOTES
SEITEN NO TERIYAKI,N,32.84,31.42,13.43,0,0,7.6,374,NOTES
SEITEN NO TERIYAKI,H,58.04,51.42,40.94,0,0,29.06,661,NOTES
SEITEN NO TERIYAKI,A,102.12,101.31,56.29,0,0,100.52,1163,NOTES
SEITEN NO TERIYAKI,L,151.18,162.5,93.4,70.72,77.03,141.82,1722,PEAK
Super Duper Racers,N,38.75,32.85,24.7,0,0,1.6,480,NOTES
Super Duper Racers,H,66.29,65.71,37.06,0,0,23.45,821,NOTES
Super Duper Racers,A,96.81,87.14,52.36,0,0,82.69,1199,NOTES
NZM,N,43.76,47.14,12.24,0,48.71,4.8,547,CHARGE
NZM,H,66.49,64.28,17.48,0,78.42,20.81,831,CHARGE
NZM,A,142.66,127.63,46.05,0,185.94,125.31,1783,CHARGE
Grand Chariot,N,46.34,42.85,16.65,0,2.03,21.25,588,NOTES
Grand Chariot,H,77.94,74.28,33.3,0,5.64,40.2,989,NOTES
Grand Chariot,A,139.88,135.52,74.64,0,37.56,132.34,1775,NOTES
Sephirot,N,38.13,37.14,14.89,0,0,4.8,485,NOTES
Sephirot,H,66.68,68.57,16.04,0,0,10.91,848,PEAK
Sephirot,A,93.81,97.14,18.33,0,0,56.23,1193,PEAK
StrayedCatz,N,43.63,47.14,15.41,0,0,7.85,557,PEAK
StrayedCatz,H,82.41,94.28,20.54,0,0,48.44,1052,PEAK
StrayedCatz,A,116.72,132.89,31.39,0,0,115.24,1490,PEAK
Angelic Jelly,N,47.3,47.14,23.8,0,0,12.05,579,NOTES
Angelic Jelly,H,86.43,71.42,29.76,0,0,71.02,1058,NOTES
Angelic Jelly,A,115.93,131.57,50.59,0,0,103.57,1419,PEAK
Triple Counter,N,53.99,54.28,19.78,0,12.34,19.17,716,PEAK
Triple Counter,H,86.34,87.14,45.6,0,27.68,83.55,1145,PEAK
Triple Counter,A,151.99,150,52.74,0,92.31,178.38,2016,CHORD
ZEPHYRANTHES,N,40.42,40,21.19,0,0,6.4,514,NOTES
ZEPHYRANTHES,H,74.15,72.85,37.81,0,0,38.59,943,NOTES
ZEPHYRANTHES,A,117.88,98.57,36.66,0,0,70.86,1499,NOTES
ZEPHYRANTHES,L,155.75,147.36,45.83,0,20.4,132.35,1982,NOTES
鴉,N,63.67,60,25.53,0,0,33.81,763,NOTES
鴉,H,94.8,91.42,44.99,0,0,100.81,1136,CHORD
鴉,A,113.16,110.52,52.89,0,0,120.4,1356,CHORD
焔極OVERKILL,N,47.61,51.42,38.28,0,0,10.91,598,PEAK
焔極OVERKILL,H,89.02,88.57,76.57,0,0,57.19,1118,NOTES
焔極OVERKILL,A,151.34,147.36,122.88,0,0,136.41,1901,NOTES
RISING FIRE HAWK,N,37,35.71,4.9,0,0,4.6,440,NOTES
RISING FIRE HAWK,H,64.59,58.57,5.51,0,0,30.37,768,NOTES
RISING FIRE HAWK,A,115.39,109.21,54.53,0,0,115.61,1372,CHORD
イザナミノナゲキ,N,49.55,47.14,5.37,0,6.4,23.23,605,NOTES
イザナミノナゲキ,H,82.48,72.85,23.27,0,40,73.08,1007,NOTES
イザナミノナゲキ,A,136.05,123.68,27.45,0,102.48,129.55,1661,NOTES
AsiaN distractive,N,47.65,42.85,21.2,35.05,0,28.55,606,NOTES
AsiaN distractive,H,71.64,71.42,24.63,41,0,65.75,911,NOTES
AsiaN distractive,A,105.14,103.94,26.35,52.61,0,118.09,1337,CHORD
Super Rush,N,40.59,37.14,37.32,0,0,4,523,NOTES
Super Rush,H,73.96,75.71,45.23,0,0,60.75,953,PEAK
Super Rush,A,139,135.52,97.82,0,70.75,158.31,1791,CHORD
Rave Cannon,N,41.86,41.42,39.68,0,3.28,13.49,538,NOTES
Rave Cannon,H,73.6,72.85,49.31,0,18.59,55.9,946,NOTES
Rave Cannon,A,132.27,115.78,74.26,0,100.41,128.21,1700,NOTES
Caterpillar,N,48.96,50,23.12,0,0,23,617,PEAK
Caterpillar,H,89.6,77.14,46.83,0,0,71.57,1129,NOTES
Caterpillar,A,123.88,115.78,148.59,0,0,121.14,1561,SCRATCH
¡Viva!,N,43.1,38.57,10.21,0,4.37,11.31,492,NOTES
¡Viva!,H,72.28,61.42,25.53,0,4.84,44.68,825,NOTES
¡Viva!,A,88.84,81.42,36.38,0,33.82,87.99,1014,NOTES
¡Viva!,L,124.07,110.52,58.73,0,0,130.91,1416,CHORD
OOO,N,29.78,25.71,6.21,0,0,1.2,349,NOTES
OOO,H,62.9,51.42,23.63,0,0,42.87,737,NOTES
OOO,A,88.25,74.28,23.63,0,0,88.26,1034,CHORD
Mare Nectaris,N,58.21,54.28,8.52,0,0.46,27.43,746,NOTES
Mare Nectaris,H,87.09,98.57,22.17,0,0.46,57.97,1116,PEAK
Mare Nectaris,A,163.16,180.35,44.91,0,0.93,119.51,2094,PEAK
冬椿 ft. Kanae Asaba,N,38.63,37.14,22.77,0,0,9.2,482,NOTES
冬椿 ft. Kanae Asaba,H,50.73,45.71,35.62,0,0,16.23,633,NOTES
冬椿 ft. Kanae Asaba,A,91.85,78.57,51.97,0,0,82.87,1146,NOTES
冬椿 ft. Kanae Asaba,L,123.02,106.57,46.71,0,0,113.71,1535,NOTES
TOGAKUSHI,N,43.4,47.14,9.61,0,25,8.85,526,PEAK
TOGAKUSHI,H,81.44,90,18.63,0,125.09,45.83,987,CHARGE
TOGAKUSHI,A,110.81,115.78,22.84,0,176.9,97.07,1343,CHARGE
SINOBUZ Fantasy,N,40.51,37.14,42.41,0,0,12.8,522,SCRATCH
SINOBUZ Fantasy,H,67.29,72.85,59.94,0,0,44.23,867,PEAK
SINOBUZ Fantasy,A,95.31,95.71,62.2,0,0,97.96,1228,CHORD
津軽雪,N,59.32,50,22.6,0,6.09,19.57,784,NOTES
津軽雪,H,86.03,80,24.8,0,9.06,48.58,1137,NOTES
津軽雪,A,147.78,150,36.93,0,25,140.56,1953,PEAK
Modular Technology,N,56.44,45.71,32.87,0,0,11.45,638,NOTES
Modular Technology,H,88.99,74.28,57.36,0,0,31.68,1006,NOTES
Modular Technology,A,121.37,101.31,90.87,0,0,84.24,1372,NOTES
Honey Trap,N,33.63,32.85,34.84,0,0,4,422,SCRATCH
Honey Trap,H,65.51,60,33.1,0,0,33.37,822,NOTES
Honey Trap,A,102.34,92.85,91.17,0,0,100.89,1284,NOTES
ROTTERDAM SHOGUN,N,49.11,42.85,31.17,0,0.46,8.8,574,NOTES
ROTTERDAM SHOGUN,H,79.57,64.28,53.61,0,32.5,53.66,930,NOTES
ROTTERDAM SHOGUN,A,111.15,97.14,83.54,0,57.03,109.36,1299,NOTES
DORNWALD ～Junge～,N,49.69,45.71,2.21,0,0,14.45,655,NOTES
DORNWALD ～Junge～,H,88.22,72.85,9.94,0,0,30.39,1163,NOTES
DORNWALD ～Junge～,A,144.36,144.73,38.69,0,0,114.83,1903,PEAK
獅子霞麗ノ舞,N,20.79,22.85,1.2,0,9.84,3.4,252,PEAK
獅子霞麗ノ舞,H,45.38,42.85,4.81,0,40.09,11.45,550,NOTES
獅子霞麗ノ舞,A,72.04,67.14,9.01,0,84.04,54.05,873,CHARGE
ECHIDNA,N,54.15,60,17.2,0,36.32,14.17,665,PEAK
ECHIDNA,H,90.47,92.85,33.81,0,117.6,42.93,1111,CHARGE
ECHIDNA,A,144.54,147.36,55.17,0,183.75,127.95,1775,CHARGE
Quakes,N,48.94,50,26.57,0,2.03,24.19,577,PEAK
Quakes,H,91.61,97.14,47.58,0,2.65,67.9,1080,PEAK
Quakes,A,140.29,155.35,84.04,0,75.7,118.88,1654,PEAK
PAPAYAPA BASS,N,31.49,32.85,15.02,0,0,9.39,397,PEAK
PAPAYAPA BASS,H,62.51,55.71,20.8,0,0,44.58,788,NOTES
PAPAYAPA BASS,A,113.29,98.57,46.82,0,0,107.99,1428,NOTES
焱影,N,30.8,27.14,63.16,0,0,1.79,366,SCRATCH
焱影,H,60.85,52.85,107.49,0,0,21.29,723,SCRATCH
焱影,A,120.96,98.57,165.38,0,0,108.59,1437,SCRATCH
SAY BAY,N,35.47,37.14,51.21,0,10.62,11.8,429,SCRATCH
SAY BAY,H,63.76,71.42,65.67,0,13.59,32.61,771,PEAK
SAY BAY,A,120.33,117.1,127.07,0,75.06,117.15,1455,SCRATCH
(This Is Not) The Angels,N,25.63,30,16.92,110.84,0,7.19,309,SOFLAN
(This Is Not) The Angels,H,61.31,55.71,26.59,153.78,0,33.89,739,SOFLAN
(This Is Not) The Angels,A,113.17,101.31,45.94,171.5,0,113.21,1364,SOFLAN
Selfish Sweet,N,28.17,25.71,6.9,0,0,1.2,327,NOTES
Selfish Sweet,H,42.48,47.14,15.06,0,0,14.01,493,PEAK
Selfish Sweet,A,75.56,68.57,41.43,0,0,47.52,877,NOTES
Be A Star,N,39.44,37.14,7.08,0,0,11,487,NOTES
Be A Star,H,74.92,67.14,20.06,0,0,66.01,925,NOTES
Be A Star,A,114.45,101.31,34.22,0,0,121.6,1413,CHORD
Egret and Willow,N,39.43,38.57,52.33,0,0,16.4,527,SCRATCH
Egret and Willow,H,63.45,64.28,57.78,0,0,54.66,848,PEAK
Egret and Willow,A,103.48,101.31,63.78,0,0,113.02,1383,CHORD
禍根,N,34.43,32.85,9.15,0,0,5.8,411,NOTES
禍根,H,58.99,58.57,10.98,0,0,16.35,704,NOTES
禍根,A,111.94,109.21,20.14,0,0,79.15,1336,NOTES
Sarutobi Champion is 拙者,N,46.05,52.85,14,14.85,0,10.2,503,PEAK
Sarutobi Champion is 拙者,H,74.07,68.57,40.02,31.37,0,31.67,809,NOTES
Sarutobi Champion is 拙者,A,105.56,131.57,73.37,54.56,0,81.83,1153,PEAK
次葉 -turn the page-,N,38.52,34.28,18.4,0,0,4.2,427,NOTES
次葉 -turn the page-,H,64.59,54.28,21.69,0,3.28,38.45,716,NOTES
次葉 -turn the page-,A,90.49,74.28,30.89,0,15.15,76.11,1003,NOTES
忍恋花,N,47.9,40,31.85,0,0,9.85,515,NOTES
忍恋花,H,80.64,72.85,25.75,0,0,42.37,867,NOTES
忍恋花,A,106.13,101.31,32.53,0,0,90.98,1141,NOTES
Go Ahead!!,N,41.32,72.85,29.47,0,0,17.63,521,PEAK
Go Ahead!!,H,64.24,85.71,50.85,0,27.18,45.54,810,PEAK
Go Ahead!!,A,112.07,183.92,57.79,0,96,115.12,1413,PEAK
DISAPPEAR feat. koyomin,N,29.8,32.85,9.92,0,10.93,12.6,372,PEAK
DISAPPEAR feat. koyomin,H,76.42,70,25.09,0,10.31,27.25,954,NOTES
DISAPPEAR feat. koyomin,A,119.92,118.42,85.21,0,64.57,106.88,1497,NOTES
#MAGiCVLGiRL_TRVP_B3VTZ,N,47.02,44.28,16.89,0,0,6,588,NOTES
#MAGiCVLGiRL_TRVP_B3VTZ,H,79.24,77.14,25.05,0,0,69.59,991,NOTES
#MAGiCVLGiRL_TRVP_B3VTZ,A,140.18,126.31,56.51,0,67.5,131.76,1753,NOTES
The Commanders,N,38.17,35.71,12.59,0,0,11,486,NOTES
The Commanders,H,60.01,52.85,15.45,0,0,35.71,764,NOTES
The Commanders,A,96.38,82.85,37.77,0,0,110.96,1227,CHORD
Umbral,N,25.04,28.57,12.32,0,0,3.4,311,PEAK
Umbral,H,57.98,57.14,21.12,0,0,30.26,720,NOTES
Umbral,A,77.79,74.28,23.46,0,0,48.57,966,NOTES
Steel Edge,N,37.02,38.57,17.36,0,15,8.45,466,PEAK
Steel Edge,H,60.3,57.14,16.2,0,57.28,36.79,759,NOTES
Steel Edge,A,127.44,105.26,41.67,0,149.1,130.47,1604,CHARGE
Music is The Answer,N,35.11,28.57,29.84,0,0,2,403,NOTES
Music is The Answer,H,63.26,58.57,43.8,0,0,29.81,726,NOTES
Music is The Answer,A,85.14,78.57,60.95,0,0,57.6,977,NOTES
Amazing Mirage,N,37.17,37.14,16.55,0,3.43,10.6,458,NOTES
Amazing Mirage,H,72.56,65.71,30.16,0,16.07,33.99,894,NOTES
Amazing Mirage,A,109.01,101.31,86.93,0,8.12,103.05,1343,NOTES
Amazing Mirage,L,136.68,127.63,104.79,0,11.71,137.99,1684,CHORD
Affection,N,25.25,21.42,12.66,0,0,1.2,305,NOTES
Affection,H,50.51,47.14,10.85,0,21.56,13.85,610,NOTES
Affection,A,87.27,78.57,28.95,0,38.43,26.81,1054,NOTES
XINOBIKILL,N,39.76,40,9.73,0,20.62,7.4,506,PEAK
XINOBIKILL,H,71.51,68.57,24.04,0,64.53,30.47,910,NOTES
XINOBIKILL,A,115.91,100,23.47,0,135.99,93.13,1475,CHARGE
FUZIN RIZIN,N,48.04,42.85,19.54,0,0,12,609,NOTES
FUZIN RIZIN,H,79.52,67.14,37.36,0,0,58.74,1008,NOTES
FUZIN RIZIN,A,152.14,121.05,53.45,0,0,151.43,1929,NOTES
ディッシュウォッシャー◎彡おいわちゃん,N,31.71,34.28,23.35,0,0,3.8,366,PEAK
ディッシュウォッシャー◎彡おいわちゃん,H,63.77,75.71,30.93,0,0,44.49,736,PEAK
ディッシュウォッシャー◎彡おいわちゃん,A,110.91,106.57,65.02,0,0,116.11,1280,CHORD
ちらちら・はらはら,N,16.23,17.14,6.28,0,0,1,207,PEAK
ちらちら・はらはら,H,37.25,38.57,9.14,0,0,24.57,475,PEAK
ちらちら・はらはら,A,56.07,55.71,12.57,0,0,52.01,715,NOTES
Believe in you,N,47.48,44.28,11.45,0,11.87,22.75,604,NOTES
Believe in you,H,75.07,64.28,26.34,0,11.09,67.52,955,NOTES
Believe in you,A,96.37,88.57,35.5,0,27.84,107.75,1226,CHORD
Shoot'Em All,N,28.75,28.57,6.22,0,0,9.8,404,NOTES
Shoot'Em All,H,53.23,58.57,8.29,0,0,28.93,748,PEAK
Shoot'Em All,A,89.95,97.14,55.99,0,0,89.23,1264,PEAK
GuNGNiR,N,50.84,47.14,25.45,0,1.87,14.89,684,NOTES
GuNGNiR,H,103.84,95.71,41.15,0,4.21,25.76,1397,NOTES
GuNGNiR,A,154.59,142.1,90.44,0,10.46,123.24,2081,NOTES
GuNGNiR,L,180.98,178.57,96.39,0,10.46,165.98,2443,NOTES
HADES,N,39.57,37.14,16.14,0,0,10.85,500,NOTES
HADES,H,75.18,68.57,39.21,0,0,41.51,950,NOTES
HADES,A,126.71,138.15,112.3,0,0,125.11,1601,PEAK
お命ちょうDAI！901娘,N,40.55,37.14,12.66,0,0,25.65,490,NOTES
お命ちょうDAI！901娘,H,67.04,57.14,13.86,0,0,60.73,810,NOTES
お命ちょうDAI！901娘,A,97.41,81.42,12.66,0,0,89.44,1177,NOTES
Beyond The Seven,N,30.15,41.42,9.42,0,0,4.6,373,PEAK
Beyond The Seven,H,54.24,54.28,15.9,0,0,22.57,671,PEAK
Beyond The Seven,A,111.16,97.14,35.92,0,0,112.2,1375,CHORD
elemental bender feat. Kanae Asaba,N,26.43,24.28,19.49,0,0,0,326,NOTES
elemental bender feat. Kanae Asaba,H,49.14,45.71,24.81,0,0,8.85,606,NOTES
elemental bender feat. Kanae Asaba,A,66.98,62.85,37.81,0,0,37.29,826,NOTES
Seaside Labyrinth,N,26.34,30,9.25,0,0,1,332,PEAK
Seaside Labyrinth,H,52.93,54.28,21.97,0,0,22.23,667,PEAK
Seaside Labyrinth,A,75.63,72.85,25.44,0,0,54.36,953,NOTES
SAMURAI-Scramble,N,38.89,47.14,97.6,0,0,5.83,511,SCRATCH
SAMURAI-Scramble,H,65.84,71.42,154.04,0,0,61.32,865,SCRATCH
SAMURAI-Scramble,A,93.77,97.14,175.31,0,0,102.85,1232,SCRATCH
SAMURAI-Scramble,L,119.96,121.05,200,0,0,120.88,1576,SCRATCH
Warrior,N,40.61,37.14,22.89,0,0,4.8,517,NOTES
Warrior,H,71.8,67.14,28.61,0,0,55.97,914,NOTES
Warrior,A,98.74,100,37.2,0,18.9,114.37,1257,CHORD
BREAK OVER,N,34.5,35.71,21.76,5.41,0,0.6,462,PEAK
BREAK OVER,H,58.63,58.57,42.44,16.25,0,16.89,785,NOTES
BREAK OVER,A,90.37,100,64.21,16.25,0,89.72,1210,PEAK
Seize the Day,N,33.7,37.14,10.1,0,2.81,17,389,PEAK
Seize the Day,H,60.3,71.42,9.46,0,60.96,49.73,696,PEAK
Seize the Day,A,95.31,101.31,31.56,0,98.75,109.49,1100,CHORD
OTENAMI Hurricane,N,54.1,50,32.36,0,0,11,670,NOTES
OTENAMI Hurricane,H,91.66,95.71,59.42,0,0,67.53,1135,PEAK
OTENAMI Hurricane,A,132.68,127.63,111.34,0,8.43,122.83,1643,NOTES
Magical,N,31.33,27.14,14.47,0,0,2.6,410,NOTES
Magical,H,45.93,40,22.83,0,0,7.65,601,NOTES
Magical,A,77.26,75.71,23.94,0,0,43.07,1011,NOTES
Yellow Sketch(RX-Ver.S.P.L.),N,31.07,35.71,11.64,0,0,2.6,389,PEAK
Yellow Sketch(RX-Ver.S.P.L.),H,75.33,68.57,17.46,0,60.34,33.4,943,NOTES
Yellow Sketch(RX-Ver.S.P.L.),A,118.14,100,22.69,0,18.43,87.97,1479,NOTES
shuriken,N,31.95,28.57,12.34,0,0.46,6,396,NOTES
shuriken,H,46.23,41.42,8.23,0,9.53,14,573,NOTES
shuriken,A,104.73,91.42,33.5,0,70.06,101.23,1298,NOTES
九尾狐夜行,N,38.5,37.14,3.84,0,0,3.8,438,NOTES
九尾狐夜行,H,80.17,70,11.52,0,0,58.8,912,NOTES
九尾狐夜行,A,133.71,121.05,51.24,0,0,134.12,1521,CHORD
Sky High,N,48.16,51.42,19.2,0,0,12.63,603,PEAK
Sky High,H,96.24,90,20.94,0,0,82.7,1205,NOTES
Sky High,A,155.09,142.1,29.67,0,0,152.68,1943,NOTES
Snakey Kung-fu,N,42.71,35.71,18.23,0,1.87,7.6,563,NOTES
Snakey Kung-fu,H,84.2,72.85,27.08,0,22.34,36.81,1110,NOTES
Snakey Kung-fu,A,132.83,121.05,27.63,0,175.64,122.6,1751,CHARGE
月雪に舞う華のように,N,30.85,34.28,10.28,6.07,9.37,18.27,437,PEAK
月雪に舞う華のように,H,48.22,48.57,10.28,6.07,28.42,35.39,683,PEAK
月雪に舞う華のように,A,76.47,77.14,26.23,6.25,32.48,84.75,1083,CHORD
INVISIBLE STRIX,N,46.09,51.42,62.58,0,0,18.31,601,SCRATCH
INVISIBLE STRIX,H,82.37,82.85,63.7,0,0,71.89,1074,PEAK
INVISIBLE STRIX,A,102.08,106.57,65.37,0,0,98.31,1331,PEAK
RAIN,N,50.25,47.14,6.22,0,17.34,12.2,588,NOTES
RAIN,H,79.3,71.42,11.2,0,37.96,23.49,928,NOTES
RAIN,A,141.61,121.05,16.81,0,73.6,119.61,1657,NOTES
刃図羅,N,46.88,44.28,31.64,0,0,13.89,626,NOTES
刃図羅,H,81.03,84.28,32.73,0,0,53.44,1082,PEAK
刃図羅,A,130.75,126.31,43.65,0,0,126.21,1746,NOTES
〆,N,50.41,50,12.29,0,0.46,16.51,657,NOTES
〆,H,91.61,78.57,32.42,0,0.46,83.13,1194,NOTES
〆,A,144.02,135.52,114.06,0,10.31,159.69,1877,CHORD
BroGamer,N,52.77,50,47.85,0,0,25.69,699,NOTES
BroGamer,H,82.97,77.14,87.46,0,0,85.97,1099,SCRATCH
BroGamer,A,118.38,118.42,122.2,0,0,130.9,1568,CHORD
BroGamer,L,179.33,155.35,144.66,0,0,200,2383,CHORD
Beat Juggling Mix,N,43.63,50,94.6,70.61,0,18.05,531,SCRATCH
Beat Juggling Mix,H,68.78,92.85,121.29,100.48,0,48.22,837,SCRATCH
Beat Juggling Mix,A,93.52,123.68,143.65,113.54,0,87.24,1138,SCRATCH
Beat Juggling Mix,L,112.01,147.36,153.19,127.21,0,111.08,1363,SCRATCH
SEQUENCE CAT,N,42.93,37.14,6.24,0,0,8,551,NOTES
SEQUENCE CAT,H,87.9,75.71,8.51,0,0,52.49,1128,NOTES
SEQUENCE CAT,A,112.68,98.57,24.41,0,0,96.39,1446,NOTES
nostos,N,33.83,37.14,7.85,81.28,0,3.05,471,SOFLAN
nostos,H,51.87,55.71,9.94,119.33,0,17.41,722,SOFLAN
nostos,A,97.63,118.42,16.22,151.92,0,109,1359,SOFLAN
crew,N,22.32,24.28,7.18,0,0,4.2,317,PEAK
crew,H,67.63,58.57,28.95,0,0,52.98,885,NOTES
crew,A,120.14,118.42,33.11,0,0,104.96,1480,NOTES
Macuilxochitl,N,66.61,57.14,7.74,0,0,19.23,752,NOTES
Macuilxochitl,H,101.6,90,22.58,0,0,71.15,1147,NOTES
Macuilxochitl,A,148.55,127.63,29.04,0,0,133.57,1677,NOTES
Surf on the Light,N,31.76,31.42,16.24,66.17,1.87,3.2,399,SOFLAN
Surf on the Light,H,60.5,54.28,25.52,74.5,3.9,38.67,760,SOFLAN
Surf on the Light,A,91.87,92.85,37.12,101.32,8.28,98.66,1154,SOFLAN
Venom,N,50.91,45.71,56.54,0,0,13.8,656,SCRATCH
Venom,H,86.15,81.42,63.89,0,0,59.77,1110,NOTES
Venom,A,126.04,121.05,69.55,0,0,127.85,1624,CHORD
Cyber True Color,N,39.59,37.14,41.78,0,0,12.6,504,SCRATCH
Cyber True Color,H,67.79,77.14,46.93,0,0,28.43,863,PEAK
Cyber True Color,A,94.81,100,50.93,0,0,81.98,1207,PEAK
恋はどう？モロ◎波動OK☆方程式!!,N,44.4,37.14,24.98,0,0,5.8,518,NOTES
恋はどう？モロ◎波動OK☆方程式!!,H,69,67.14,46.21,0,0,35.92,805,NOTES
恋はどう？モロ◎波動OK☆方程式!!,A,106.88,110.52,51.2,0,0,110.43,1247,PEAK
Lost wing at.0,N,37.39,35.71,25.8,0,3.28,13,475,NOTES
Lost wing at.0,H,59.19,51.42,37.28,0,13.9,30.22,752,NOTES
